burst,subband,center_freq_mhz,n_preferred,component,dnu_mhz,dnu_err_mhz,modulation_m,modulation_err,fit_range_mhz,selected_bic,selected_redchi,quality_flags
casey,0,1324.5273075044765,1,1,2.099715378666824,0.1625581861506213,0.35860431546046345,0.008807890874856708,13.185739866514746,244.2663087075334,1.699370851329401,
casey,1,1365.5496093114114,2,1,8.590165176040292,2.1007806085994214,0.7808064985775152,0.25141341562737973,25.0,-1698.8337140515598,0.12134625413381916,
casey,1,1365.5496093114114,2,2,18.387156844891884,5.546916267774018,0.8784950567396232,0.19448069291486958,25.0,-1698.8337140515598,0.12134625413381916,
casey,2,1411.257121927397,1,1,1.4549778282941261,0.18672677695783213,0.25409334418025287,0.009912862368095882,17.73359921862288,297.6632741492684,1.6235930767583644,
casey,3,1464.000081393456,2,1,4.354450292122478,0.36229075235042113,0.8382433837028032,0.019353750190667072,25.0,-1759.8925946411498,0.11262853419771056,
casey,3,1464.000081393456,2,2,40.87086124273435,3.041949070279722,2.1724663983917747,0.09825627774940691,25.0,-1759.8925946411498,0.11262853419771056,dnu_exceeds_fit_window
chromatica,0,1321.0629985349178,1,1,0.7284567935421742,0.08979323640542437,0.7594359730707423,0.031054578005269895,9.797737261924173,363.57583480380464,2.9685868682630296,
chromatica,1,1351.0971837864236,2,1,0.5957143809409806,0.08014451060283902,0.7605000210255084,0.03067875089121005,20.083835259645152,31.375619237141013,1.006019088442257,
chromatica,1,1351.0971837864236,2,2,26.680613272997938,7.981911086537648,1.0181697132352197,0.20319056648301498,20.083835259645152,31.375619237141013,1.006019088442257,dnu_exceeds_fit_window
chromatica,2,1395.88902002279,1,1,2.0652691362852234,0.15768618389059974,0.9897688072741844,0.024521666036175983,24.387514243854795,495.8892728334514,1.8208531895097266,
chromatica,3,1459.620096044278,2,1,1.3891817065590502,0.10084126849226376,1.4822938951527158,0.029789296789478,25.0,219.52833583120548,1.2626531599989501,
chromatica,3,1459.620096044278,2,2,902.6393198378997,391168.9163673771,20.293230758654673,8787.715915097322,25.0,219.52833583120548,1.2626531599989501,dnu_exceeds_fit_window;fractional_dnu_err_gt_1;modulation_gt_3;fractional_mod_err_gt_1
freya,0,1351.56372069652,1,1,11.914664957447274,4.378555326564764,0.19715904053819666,0.02020515300538813,25.0,-58.08812466959685,0.9122623381154441,
freya,1,1445.31372068116,1,1,392.80305448580646,36710.4195851454,3.0988963635885556,288.63139305772626,25.0,-72.29270604184077,0.8965766503585262,dnu_exceeds_fit_window;fractional_dnu_err_gt_1;modulation_gt_3;fractional_mod_err_gt_1
hamilton,0,1321.841323457594,1,1,0.12858975252139837,0.07136968777944888,0.6273382198117394,0.12735183085031515,10.545539638613104,22.175675981674956,1.0224457711123636,
hamilton,1,1351.6465896141951,1,1,1.0663028113307473,0.3993888805660314,0.6305452993963809,0.07511877729672567,19.16815888002606,48.262411832382725,1.0521787614618443,
hamilton,2,1395.3701367410063,2,1,0.20726971233936653,0.06261235593642055,1.2909701990341755,0.14515300193028047,24.280685332899335,-43.56765193204517,0.9134788461344241,
hamilton,2,1395.3701367410063,2,2,593.764259570352,81523.67573113061,19.512121592926317,2675.2199007701256,24.280685332899335,-43.56765193204517,0.9134788461344241,dnu_exceeds_fit_window;fractional_dnu_err_gt_1;modulation_gt_3;fractional_mod_err_gt_1
hamilton,3,1459.3301318573986,2,1,0.23874580022075476,0.10871444736128087,1.3807765501911247,0.2139649287877998,25.0,11.911581887049984,0.9799192385010959,
hamilton,3,1459.3301318573986,2,2,17.39590492189918,5.24580651475815,1.3014694424394309,0.149934797385096,25.0,11.911581887049984,0.9799192385010959,
isha,0,1361.6427234250366,1,1,81.23778843412875,3191.8731065742463,0.8128320017127839,29.61314799570454,25.0,47.438962186097214,1.0377148365608286,dnu_exceeds_fit_window;fractional_dnu_err_gt_1;fractional_mod_err_gt_1
isha,1,1455.4079846980303,1,1,0.6716347742019537,0.4283557348790842,0.6981129898287022,0.15112930119032517,25.0,-41.63081527023181,0.9307791164292878,
johndoeII,0,1335.6832980628358,1,1,21.571029523656506,3.697033590978976,0.48826537139653126,0.0430742245837285,24.44855933582948,-40.20296001711651,0.8711726357224556,
johndoeII,1,1392.0279179553963,1,1,0.49365163640090526,0.13217482284791132,0.430577598004227,0.04135370461164395,25.0,131.67013667836002,1.3300060496636636,
johndoeII,2,1461.3446198925606,1,1,1.8770112400900105,0.4908881494432252,0.3483470361556702,0.028181246243908546,25.0,56.67481330413608,1.1071850928975244,
mahi,0,1344.107520755331,1,1,1.8345250637773227,0.3265480090071697,1.1328360965424662,0.06178507341100911,25.0,25.43088210387551,1.0102008075200852,
mahi,1,1404.1148461663684,1,1,1.0469485785443626,0.889300110651306,0.5000009092175908,0.1380729588743106,25.0,-27.937348828427222,0.9464723281706404,
mahi,2,1465.007325411037,1,1,12.821930119686431,3.585369988236985,0.9710417602393615,0.08149407226326465,25.0,25.965177289313274,1.0108600523605082,
