nickname,frb_identifier,host_identifier,published_redshift,redshift_uncertainty_available,redshift_uncertainty,measurement_kind,measurement_basis,host_identity_row,redshift_row,bibliographic_source,doi,source_release,source_retrieved_date
zach,FRB 20220207C,PSO J310.1977+72.8826,0.043040,false,,spectroscopic,"pPXF joint stellar-continuum and nebular-emission fit; at least three emission lines","10.3847/1538-4357/ad3736|Table 2|FRB 20220207C","10.3847/1538-4357/ad3736|Table 3|FRB 20220207C","Law et al. 2024, The Astrophysical Journal 967:29",10.3847/1538-4357/ad3736,version of record dated 2024-05-20,2026-07-22
whitney,FRB 20220310F,PSO J134.7211+73.4910,0.477958,false,,spectroscopic,"pPXF joint stellar-continuum and nebular-emission fit; at least three emission lines","10.3847/1538-4357/ad3736|Table 2|FRB 20220310F","10.3847/1538-4357/ad3736|Table 3|FRB 20220310F","Law et al. 2024, The Astrophysical Journal 967:29",10.3847/1538-4357/ad3736,version of record dated 2024-05-20,2026-07-22
