nickname,frb_name,frb_z,frb_z_lower,frb_z_upper,redshift_class,frb_redshift_basis,frb_posterior_sha256,frb_posterior_status,frb_ra_deg,frb_dec_deg,coverage_summary,coverage_limitations,query_limitations,census_status,empty_sightline_claim,row_kind,evidence_class,object_id,system_type,final_verdict,system_z,system_z_lower,system_z_upper,candidate_foreground_probability,candidate_science_admitted,candidate_ra_deg,candidate_dec_deg,impact_kpc,mass_msun,radius_kpc,radius_definition,geometry_status,budget_eligible
phineas,FRB 20230307A,0.271,0.271,0.271,established,established spectroscopic host redshift,,,177.7813333333,71.6956388889,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:covered,footprint evidence incomplete: GLADE+,,established_host_redshift,False,system,confirmed_system,953,halo,confirmed,0.1991,0.1991,0.1991,,True,177.8314024,71.69336919,242.7,449400078853.2408,151.03980711881184,R200c,pass,True
phineas,FRB 20230307A,0.271,0.271,0.271,established,established spectroscopic host redshift,,,177.7813333333,71.6956388889,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:covered,footprint evidence incomplete: GLADE+,,established_host_redshift,False,system,confirmed_system,983,halo,confirmed,0.1649,0.1649,0.1649,,True,177.8163208,71.69501131,122.2,112787184570.15146,96.45747262524743,R200c,pass,True
phineas,FRB 20230307A,0.271,0.271,0.271,established,established spectroscopic host redshift,,,177.7813333333,71.6956388889,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:covered,footprint evidence incomplete: GLADE+,,established_host_redshift,False,system,confirmed_system,194021777634832653,halo,confirmed,0.1925,0.1925,0.1925,,True,177.7635678,71.68486803,130.6,542273443718.04755,161.1874408532471,R200c,pass,True
phineas,FRB 20230307A,0.271,0.271,0.271,established,established spectroscopic host redshift,,,177.7813333333,71.6956388889,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:covered,footprint evidence incomplete: GLADE+,,established_host_redshift,False,system,confirmed_system,194041777780157594,halo,confirmed,0.2146,0.2146,0.2146,,True,177.7780675,71.70558959,111.8,1707590432605.2102,234.35417571626624,R200c,pass,True
phineas,FRB 20230307A,0.271,0.271,0.271,established,established spectroscopic host redshift,,,177.7813333333,71.6956388889,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:covered,footprint evidence incomplete: GLADE+,,established_host_redshift,False,system,confirmed_system,194051777813062524,halo,confirmed,0.1096,0.1096,0.1096,,True,177.7811322,71.70977418,101.7,356081744303.46747,144.27622828823223,R200c,pass,True
phineas,FRB 20230307A,0.271,0.271,0.271,established,established spectroscopic host redshift,,,177.7813333333,71.6956388889,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:covered,footprint evidence incomplete: GLADE+,,established_host_redshift,False,system,confirmed_system,"J115120.4+714435, 1254337",cluster,confirmed,0.2,0.2,0.2,,True,177.83488,71.74319,603.6,148000000000000.0,729.0,R500c_catalog,pass,True
phineas,FRB 20230307A,0.271,0.271,0.271,established,established spectroscopic host redshift,,,177.7813333333,71.6956388889,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:covered,footprint evidence incomplete: GLADE+,,established_host_redshift,False,system,confirmed_system,"J115128.2+713637, 1254415",cluster,confirmed,0.1916,0.1916,0.1916,,True,177.86761,71.61024,1054.7,186000000000000.0,841.0,R500c_catalog,pass,False
phineas,FRB 20230307A,0.271,0.271,0.271,established,established spectroscopic host redshift,,,177.7813333333,71.6956388889,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:covered,footprint evidence incomplete: GLADE+,,established_host_redshift,False,system,confirmed_system,"J114944.0+714348, 1253496",cluster,confirmed,0.244,0.244,0.244,,True,177.4332,71.7301,1569.2,52000000000000.0,531.0,R500c_catalog,pass,False
phineas,FRB 20230307A,0.271,0.271,0.271,established,established spectroscopic host redshift,,,177.7813333333,71.6956388889,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:covered,footprint evidence incomplete: GLADE+,,established_host_redshift,False,system,confirmed_system,"J115140.5+712732, 1254506",cluster,confirmed,0.1758,0.1758,0.1758,,True,177.91873,71.45892,2104.7,93000000000000.0,633.0,R500c_catalog,pass,False
phineas,FRB 20230307A,0.271,0.271,0.271,established,established spectroscopic host redshift,,,177.7813333333,71.6956388889,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:covered,footprint evidence incomplete: GLADE+,,established_host_redshift,False,system,confirmed_system,"J115400.9+713320, 1255773",cluster,confirmed,0.1549,0.1549,0.1549,,True,178.50381,71.55566,3060.1,51000000000000.0,563.0,R500c_catalog,pass,False
