frb_name,nickname,candname,tns_name,mjd,snr_heimdall,dm_heimdall,dm_opt,dm_exgal,dm_mw_ne2001_30kpc,redshift,ra_beam_deg,dec_beam_deg,detection_beam,ibox,opt_integration_bins,signal_bin,fluence_jyms,pb_attenuation,chime_event_no,voltage_localization,pos_err_ra_arcsec,pos_err_dec_arcsec,calib_voltages,astrometry_notes,comment,swift
FRB20230814B,johndoeII,230814aaas,FRB 20230814B,60170.360927,45.1,696.2,696.35,597.35,99.0,0.5535,335.9,71.5,93.0,8.0,16.0,"952, 953",,,311723353,22h23m53.94s +73d01m33.26s,1.7,0.5,,,,
,hamilton,230913aaao,,60200.2071581,16.1,518.6,518.7,445.6,73.1,0.3024,308.4,71.6,190.0,1.0,16.0,953.0,,,318353610,20h20m08.92s +70d47m33.96s,0.8,0.5,,,MISSING SB03,
FRB20231120A,mizu,231120aabi,FRB 20231120A,60268.563792,15.5,437.7,438.9,395.8,43.1,0.0368,144.0,71.8,117.0,16.0,128.0,118-120,,,,09h35m56.15s +73d17m04.8s,1.1,1.0,ri,,,
FRB20231123B,squanto,231123aacm,FRB 20231123B,60271.8225511,12.1,396.9,396.7,356.1,40.6,0.2625,240.6,71.7,85.0,8.0,32.0,476.0,,,,16h10m09.16s +70d47m06.2s,1.2,0.6,,,,
FRB20231129A,martha,231129aaaj,FRB 20231129A,60277.105659,20.3,720.6,720.6,591.3,129.3,,346.4,71.5,145.0,4.0,32.0,476.0,,,,23h04m56.74s +72d46m42.1s,1.1,0.8,,,,
FRB20231210D,shohei,231210aaaa,FRB 20231210D,60288.0080157,17.1,1130.6,1131.65,1041.2,90.45,,323.2,71.5,221.0,4.0,4.0,3809-3811,,,,21h12m43.66s +71d03m09.6s,0.6,0.7,,,,BAT triggered: https://guano.swift.psu.edu/trigger_report?id=723859925
FRB20231215A,therese,231215aaat,FRB 20231215A,60293.445038,22.7,975.9,977.05,925.8156,51.2344,,119.9,71.7,227.0,4.0,8.0,1903-1904,,,,08h00m20.02s +70d43m11.9s,0.9,0.7,,,,
FRB20231220A,gemechu,231220aaae,FRB 20231220A,60298.422834,28.8,491.6,491.2,441.2563,49.9437,0.3355,123.8,71.7,94.0,2.0,16.0,953.0,,,,08h15m38.09s +73d39m35.7s,0.7,0.5,,,,
FRB20240104A,mike,240104aaab,FRB 20240104A,60313.0085386,9.4,1348.9,1351.0,1230.1625,120.8375,1.33,347.9,71.5,106.0,16.0,64.0,237-238,,,,23h15m29.76s +72d49m14.1s,1.3,0.9,ho,undetected to ~25th mag in i-band (LRIS),,
FRB20240119A,nikhil,240119aacg,FRB 20240119A,60328.605017,8.9,483.6,483.1,445.0882,38.0118,0.376,224.5,71.6,4.0,8.0,64.0,238-239,,,,14h57m52.12s +71d36m42.33s,1.3,0.7,,Legacy photo-z 0.37+-0.14,,
,mahi,240122aaag,,60331.10428,8.9,958.0,959.9,828.8042,131.0958,,39.8,71.5,125.0,4.0,4.0,3806-3807,,,,02h39m03.96s +71d01m04.3s,1.3,0.7,,need deep image,,
FRB20240123A,pushkin,240123aaaf,FRB 20240123A,60332.2,11.2,1462.4,1462.0,1371.8332,90.1668,0.968,68.3,71.6,84.0,16.0,256.0,59.0,,,,04h33m03.0s +71d56m43.02s,1.3,0.8,,,,
,chromatica,240203aacl,,60343.8,38.9,272.4,272.6,196.445,76.155,0.074,312.9,71.5,162.0,2.0,16.0,953.0,,,,20h50m28.59s +73d54m00.0s,0.8,0.6,,blue compact galaxy,; ideal DM from high res fil is 272.60 (previous was 272.25 from localization),
FRB20240213A,annie,240213aani,FRB 20240213A,60353.4,15.0,358.1,357.4,317.3606,40.0394,0.1185,165.3,71.7,2.0,2.0,32.0,476-478,,,,11h04m40.39s +74d04m31.4s,1.0,0.6,,Legacy photo-z 0.1+-0.02,,
FRB20240215A,bubble,240215aawc,FRB 20240215A,60355.7,17.1,549.5,549.5,501.5811,47.9189,0.21,268.5,71.7,123.0,8.0,32.0,476-477,,,,17h53m45.90s +70d13m56.5s,0.8,0.5,,Legacy photo-z 0.22+-0.04,,
FRB20240224A,mayra,240224aaad,FRB 20240224A,60364.1,14.0,880.7,881.2,797.2773,83.9227,0.37,70.0,71.6,121.0,4.0,4.0,3810-3811,,,,04h40m27.57s +73d30m46.0s,0.6,0.5,,PS1 photo-z 0.42+-0.02,,
FRB20240229A,casey,240229aaad,FRB 20240229A,60369.3709522,93.9,491.6,491.15,453.0,38.4956,0.287,173.7,71.8,198.0,2.0,8.0,1907.0,,,,11h19m56.05s +70d40m34.4s,0.8,0.6,,Legacy photo-z 0.37+-0.07,`,
,helly,250129myaw,,60704.08227,25.2,323.0,,,,,39.5,71.5,73.0,2.0,,,,,,,,,,,,
,harmony,250213buis,,60719.229636,16.9,173.3,173.3,,,0.079,107.3,71.7,139.0,8.0,128.0,116-117,,,,07:06:27.7 70:11:44,,,,,,
,irving,250303uris,,60737.170539,18.1,488.8,489.5,,,0.305,104.8,14.7,77.0,8.0,64.0,220.0,,,,06:59:11.1 +13:17:0.8,,,,,,
,mullagh,250324ohni,,60758.637174,7.9,883.0,883.0,,,,292.1,16.2,192.0,6.0,512.0,24-25,,,,,,,,,,
,angela,250424oknj,,60789.403985,8.8,152.8,,,,,239.9,72.6,333.0,,,,,,,,,,,,,
,joao,250426wyef,,60791.318251,10.6,1135.2,1135.15,,,,205.9,70.1,227.0,32.0,64.0,197-198,,,,13h42m58.22s +70d25m22.1s,1.0,0.7,,,,
,markII,250427zhcu,,60792.823215,8.7,111.1,,,,0.0116,34.6,71.5,108.0,4.0,,,,,,,,,,,,
,givenchy,250518hvbj,,60813.254818,17.1,920.6,921.2,,,0.6392,208.1,71.2,156.0,16.0,32.0,409-411,,,,13:51:58.03 +71:16:56.46,,,,,,
FRB20250924A,reginald,250924mptq,FRB 20250924A,60942.172498,19.1,404.7,405.25,,,,308.0,54.5,91.0,8.0,8.0,1790-1791,,,,20h31m06.3772255s +53d50m56.34673602s,0.41,0.26,,,,
,missy,251110iupf,,60989.875531,11.0,1523.0,,,,,247.8,16.3,76.0,32.0,,,,,,,,,,,,
,mira,251117thkk,,60996.2198775,8.7,473.2,473.9,,,0.271,17.0,14.4,487.0,32.0,8.0,1769.0,,,,01:08:05.21 14:51:44.23,1.1,0.7,,,,
,copernicus,251125wxtf,,61004.739369,24.4,610.2,610.5,,,0.327,213.6,14.9,66.0,8.0,16.0,865-866,,,,14:14:13.90 +15:19:17.4,1.0,0.6,,,,
,,251223bkco,,61032.7201866,10.1,995.2,1015.0,,,,232.0,16.4,195.0,32.0,256.0,,,,,,,,,,,
,eve,251224dwkt,,61033.399548,21.7,1888.5,,,,,117.1,16.7,198.0,8.0,,,,,,,,,,,,
,grinch,251225adpz,,61034.643358,12.7,300.3,299.75,275.84,23.91,0.2188,207.1,17.9,145.0,8.0,32.0,453-454,,,,13:48:22.83 +17:30:28.23,,,,,,
,frenchhen,251227qxvj,,61036.4358481,8.5,842.8,845.0,,,,132.7,16.4,228.0,64.0,512.0,23-25,,,,,,,,,,
,antoine,260405dzzw,,61135.214348,15.5,1195.8,,,,,151.1,17.7,123.0,2.0,4.0,3127-3128,,,,10h08m27.23413453s +17d41m25.97975147s,,,,,,
,aviva,260407sjpd,,61137.486583,7.6,494.1,,444.86,49.24,0.488,252.7,14.5,108.0,2.0,16.0,"881, 882, 883",,,,16:50:40.40 +14:31:57.6,,,,,,
FRB20240304C,pari,240304aaax,FRB 20240304C,60373.0,8.5,442.7,443.2,,,,243.8,71.7,136.0,16.0,64.0,236-237,,,,,,,,,MJD corrected from source typo 554553 to 2024-03-04 per candname,
,misfortune,240204aacb,,,,,,,,,,,,,,,,,,,,,,,,
,sam,241225aaby,,,,,,,,,,,,,,,,,,,,,,,,
,,250326iqxz,,,,,,,,,,,,,,,,,,,,,,,,
,,250430bnzs,,,,,,,,,,,,,,,,,,,,,,,,
,,250430kqup,,,,,,,,,,,,,,,,,,,,,,,,
,,250430ntuk,,,,,,,,,,,,,,,,,,,,,,,,
,,250430nvvi,,,,,,,,,,,,,,,,,,,,,,,,
,,250501kkpc,,,,,,,,,,,,,,,,,,,,,,,,
