burst,nickname,dm_obs,dm_mw,z16,z50,z84
FRB 20221203A,wilhelm,602.377821,117.0,0.41015091062287634,0.549201900352667,0.7047773404700971
FRB 20230325C,freya,912.407552,100.0,0.7255791151652305,0.9172987700284441,1.1441180905627628
FRB 20240122A,mahi,960.131611,133.0,0.7364597841723493,0.9317268825487911,1.1630559977349617
